Country,Type,Lat,Lon,Value
WC,6,-33.546977, 20.7275,284
WC,7,-33.546977, 20.72753,83
WC,8,-33.546977, 20.72753,100
EC,6,-32.2171831, 26.6386401,316
EC,7,-32.2171831, 26.6386401,71
EC,8,-32.2171831, 26.6386401,41
NC,6,-29.573402, 21.2051361,83
NC,7,-29.573402, 21.2051361,27
NC,8,-29.573402, 21.2051361,14
FS,6,-28.7853618, 26.4978933,147
FS,7,-28.7853618, 26.4978933,18
FS,8,-28.7853618, 26.4978933,21
KZN,6,-28.503833, 30.8875009,424
KZN,7,-28.503833, 30.8875009,77
KZN,8,-28.503833, 30.8875009,40
NW,6,-26.1347819,25.6546729,92
NW,7,-26.1347819, 25.6546729,16
NW,8,-26.1347819, 25.6546729,3
GP,6,-25.9363439, 28.0813105,520
GP,7,-25.9363439, 28.0813105,130
GP,8,-25.9363439, 28.0813105,89
MP,6,-26.276849, 30.150015,195
MP,7,-26.276849, 30.150015,94
MP,8,-26.276849, 30.150015,22
LP,6,-23.4735288, 29.3959199,180
LP,7,-23.4735288, 29.3959199,48
LP,8,-23.4735288, 29.3959199,15
